Experiment type,Batch,Mean overall delta,Std dev overall delta,Mean delta percentage,Std dev delta percentage,Positive outcomes,Negative outcomes,Neutral outcomes,Average up,Average down,Average unchanged
best_batches_human,1,0.000096,0.000045,0.62%,0.29%,100.00%,0.00%,0.00%,344.4,1463,33.6
best_batches_human,2,0.000145,0.000036,0.93%,0.24%,100.00%,0.00%,0.00%,852.9,716.75,271.35
folder_batches_human,1,0.000175,0.00007,1.13%,0.44%,95.00%,5.00%,0.00%,620.95,1107.65,112.4
folder_batches_human,2,-0.000083,0.000026,-0.53%,0.17%,0.00%,100.00%,0.00%,707.1,1016.5,117.4
mixed_batches_human,1,0.000055,0.000045,0.35%,0.29%,95.00%,5.00%,0.00%,302.45,1504.15,34.4
mixed_batches_human,2,0.000009,0.000032,0.06%,0.20%,75.00%,25.00%,0.00%,320.6,1415.25,105.15
random_batches_human,1,0.000135,0.000052,0.87%,0.34%,95.00%,5.00%,0.00%,350.25,1457.7,33.05
random_batches_human,2,0.0001,0.000039,0.65%,0.25%,100.00%,0.00%,0.00%,351.7,1419.5,69.8
worst_batches_human,1,-0.00025,0.000096,-1.60%,0.59%,0.00%,100.00%,0.00%,392.2,1397.5,51.3
worst_batches_human,2,0.000177,0.000058,1.14%,0.37%,100.00%,0.00%,0.00%,426.9,1260.6,153.5
