Experiment type,Mean overall delta,Mean delta percentage,Average Up,Average Down,Average Neutral
best_batches,0.000559,1.45%,722.9,867.2,250.9
folder_batches,0.000355,0.92%,659.5,1071.6,110
mixed_batches,0.000366,0.95%,378,"1,346",117
random_batches,0.000258,0.67%,368.5,"1,400.60",71.9
worst_batches,0.000434,1.13%,401.2,"1,305",134.8
automatic,,,,,
,,,,,
,,,,,
Experiment type,Mean overall delta,Mean delta percentage,Average Up,Average Down,Average Neutral
best_batches,0.000284,0.74%,625.4,"1,070.70",144.9
folder_batches,0.000102,0.27%,678.3,"1,051.20",111.5
mixed_batches,0.000047,0.12%,327.1,"1,447",67.2
random_batches,0.000302,0.78%,363,"1,423.60",54.4
worst_batches,-0.000109,-0.28%,433.1,"1,310",97.8
human,,,,,
