Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_random_updated_link_graph_6,Range_35-65,35,65,1.8485539595671232,546.790886724028,-85.99353102158518,17.33460829432696,1441,381,19,1841,9.16201814810435
240_random_updated_link_graph_4,Range_35-65,35,65,1.809420100763759,581.989687407396,-85.9931271103357,17.463874886584083,1436,389,16,1841,9.223339275519054
240_random_updated_link_graph_1,Range_35-65,35,65,1.8060361173915356,546.6659724558327,-85.9932263257906,17.47786731301963,1432,391,18,1841,9.221037757396697
240_random_updated_link_graph_8,Range_35-65,35,65,1.8011308876987473,546.7210409545714,-85.99343228709697,17.308338305771912,1472,342,27,1841,9.158017607529958
240_random_updated_link_graph_2,Range_35-65,35,65,1.7905127752137533,563.8253190608555,-85.99371518340709,17.275934615531916,1439,376,26,1841,9.158553262551626
240_random_updated_link_graph_3,Range_35-65,35,65,1.7894717864222576,554.8492404523852,-85.99320872871593,17.39068827567174,1438,385,18,1841,9.226714773972828
240_random_updated_link_graph_10,Range_35-65,35,65,1.788771707701394,546.6496394724105,-85.99330110965818,17.396089457222658,1426,395,20,1841,9.141124431292216
240_random_updated_link_graph_9,Range_35-65,35,65,1.76170545298579,557.6459364479797,-85.9935401114674,17.235343653216535,1447,367,27,1841,9.596744589010875
240_random_updated_link_graph_7,Range_35-65,35,65,1.7457313085021906,547.6064881708093,-85.9933250209817,17.306960580624448,1436,383,22,1841,9.519678072134655
240_random_updated_link_graph_5,Range_35-65,35,65,1.6933203308991953,560.2175922747664,-85.99375566369726,17.299351853347588,1417,408,16,1841,9.17234338124593
