name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_folder_updated_link_graph_4,Range_35-65,35,65,166.69698786735535,1.8205508,497.30908,-83.38599,16.723373,1412,400,29,1841,100
240_folder_updated_link_graph_7,Range_35-65,35,65,166.47967171669006,1.8118645,497.23895,-83.452354,16.76792,1425,392,24,1841,100
240_folder_updated_link_graph_5,Range_35-65,35,65,167.41655707359314,1.7863986,497.38525,-83.39417,16.702604,1424,392,25,1841,100
240_folder_updated_link_graph_1,Range_35-65,35,65,166.90160989761353,1.7398876,497.33942,-83.395905,16.68429,1405,413,23,1841,100
240_folder_updated_link_graph_9,Range_35-65,35,65,165.39669370651245,1.7322631,497.48788,-83.45235,16.812582,1387,425,29,1841,100
240_folder_updated_link_graph_8,Range_35-65,35,65,164.22338724136353,1.7219528,497.24615,-83.453224,16.719173,1376,432,33,1841,100
240_folder_updated_link_graph_3,Range_35-65,35,65,155.85910272598267,1.6896226,497.34494,-83.45297,16.667597,1399,409,33,1841,100
240_folder_updated_link_graph_2,Range_35-65,35,65,166.5283007621765,1.6775936,497.33447,-83.45269,16.649872,1382,433,26,1841,100
240_folder_updated_link_graph_10,Range_35-65,35,65,168.74678945541382,1.6771604,497.23727,-83.45287,16.6127,1400,411,30,1841,100
240_folder_updated_link_graph_6,Range_35-65,35,65,167.36526560783386,1.6502879,497.24063,-83.45199,16.615625,1394,424,23,1841,100
