name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_low_updated_link_graph_6,Range_35-65,35,65,167.90046334266663,1.8390183,497.17465,-83.45472,16.857494,1330,491,20,1841,100
240_low_updated_link_graph_1,Range_35-65,35,65,170.57261276245117,1.7849919,497.1745,-83.45452,16.604727,1348,469,24,1841,100
240_low_updated_link_graph_3,Range_35-65,35,65,171.974951505661,1.781254,497.1742,-83.45458,16.632666,1333,481,27,1841,100
240_low_updated_link_graph_10,Range_35-65,35,65,173.85524725914001,1.7735838,497.17722,-83.45453,16.554743,1342,476,23,1841,100
240_low_updated_link_graph_4,Range_35-65,35,65,172.70321679115295,1.7669505,497.1771,-83.45452,16.559221,1354,460,27,1841,100
240_low_updated_link_graph_8,Range_35-65,35,65,171.37723994255066,1.7569443,497.17728,-83.45461,16.52947,1358,460,23,1841,100
240_low_updated_link_graph_2,Range_35-65,35,65,168.2491536140442,1.7485129,497.17294,-83.454445,16.586645,1346,467,28,1841,100
240_low_updated_link_graph_5,Range_35-65,35,65,173.41207647323608,1.7247466,497.179,-83.4545,16.547174,1342,477,22,1841,100
240_low_updated_link_graph_9,Range_35-65,35,65,172.68626141548157,1.7199525,497.17624,-83.454605,16.522717,1343,473,25,1841,100
240_low_updated_link_graph_7,Range_35-65,35,65,172.20345640182495,1.7186967,497.176,-83.45461,16.516022,1345,469,27,1841,100
