Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_folder_updated_link_graph_4,Range_5-35,5,35,1.401862002665192,546.1617296014288,-85.98636569221401,11.505471602991022,1371,417,53,1841,9.0156010111173
240_folder_updated_link_graph_7,Range_5-35,5,35,1.3928590577955748,546.1663909576864,-85.9926713877649,11.588195680179176,1369,416,56,1841,9.336330803235372
240_folder_updated_link_graph_5,Range_5-35,5,35,1.3701405739707544,545.9773195065476,-85.97105855963993,11.508569352911637,1354,435,52,1841,9.013021274407704
240_folder_updated_link_graph_1,Range_5-35,5,35,1.3218376871421103,546.1571668131014,-85.99552138766488,11.47149902442243,1356,431,54,1841,9.277362326780954
240_folder_updated_link_graph_9,Range_5-35,5,35,1.3168996294474815,546.1047946775426,-85.98240911377579,11.673825258188817,1323,462,56,1841,9.126451476414998
240_folder_updated_link_graph_8,Range_5-35,5,35,1.3065744912416988,546.0831085767113,-85.9962975148577,11.534625758010835,1313,472,56,1841,9.273585939407349
240_folder_updated_link_graph_3,Range_5-35,5,35,1.2740019650309995,546.1289413208285,-85.90379332893929,11.442537417422065,1336,448,57,1841,9.144914698600768
240_folder_updated_link_graph_2,Range_5-35,5,35,1.2626532173544323,546.1124540665322,-85.99400754434107,11.442840226846263,1317,465,59,1841,9.249179299672445
240_folder_updated_link_graph_10,Range_5-35,5,35,1.261367174814275,546.2550529775825,-85.98365557435534,11.364899224802285,1346,444,51,1841,9.291683141390482
240_folder_updated_link_graph_6,Range_5-35,5,35,1.234234868893562,546.0837150541819,-85.99276881588332,11.387854460804235,1341,444,56,1841,8.98941019376119
