Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_high_updated_link_graph_6,Range_5-35,5,35,1.3452130329082268,546.0819498513,-85.99808439610855,11.235600422479182,1252,505,84,1841,8.860851577917735
240_high_updated_link_graph_8,Range_5-35,5,35,1.338570842820512,546.0846099812494,-85.99802090658658,11.216264239135707,1250,511,80,1841,8.835918311278025
240_high_updated_link_graph_5,Range_5-35,5,35,1.3374581130801586,546.0827700281956,-85.99774830860825,11.23522254047245,1245,505,91,1841,8.86071172952652
240_high_updated_link_graph_10,Range_5-35,5,35,1.3359130353003386,546.087285015447,-85.99799290287278,11.210637172829749,1254,500,87,1841,8.894180738925934
240_high_updated_link_graph_4,Range_5-35,5,35,1.3341353696225398,546.0850083425618,-85.99760238040261,11.206648020049998,1256,506,79,1841,9.174146862824758
240_high_updated_link_graph_9,Range_5-35,5,35,1.3279339634464653,546.0850588286903,-85.99747905737101,11.207546734515407,1264,494,83,1841,9.141228703657786
240_high_updated_link_graph_3,Range_5-35,5,35,1.324183393453759,546.0860462490475,-85.99732049261618,11.209152202366267,1266,490,85,1841,9.246378576755523
240_high_updated_link_graph_7,Range_5-35,5,35,1.3056628269546595,546.0843122914032,-85.99865355498326,11.204438883139922,1239,515,87,1841,8.846440899372102
240_high_updated_link_graph_1,Range_5-35,5,35,1.299108074069723,546.0827920728493,-85.99817993223282,11.213275777061888,1240,511,90,1841,9.13961013952891
240_high_updated_link_graph_2,Range_5-35,5,35,1.2867193374847838,546.0868052013863,-85.99731907941919,11.193705242466768,1244,499,98,1841,8.904960791269938
