Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_mixed_updated_link_graph_8,Range_5-35,5,35,1.4265031440181932,546.0841934663007,-85.99799411724709,11.59083684948652,1229,533,79,1841,9.209335319201152
240_mixed_updated_link_graph_9,Range_5-35,5,35,1.414992206028481,546.0836822979878,-85.99847165414677,11.611178745889493,1203,552,86,1841,9.133872918287913
240_mixed_updated_link_graph_7,Range_5-35,5,35,1.4107910576949738,546.0842910142701,-85.99771621482853,11.546488761303548,1226,532,83,1841,9.119160823027293
240_mixed_updated_link_graph_2,Range_5-35,5,35,1.4011078624484772,546.0817937248895,-85.99817701811467,11.491125504858422,1223,526,92,1841,9.22328184445699
240_mixed_updated_link_graph_10,Range_5-35,5,35,1.3915676750471844,546.0850277872617,-85.99803612664067,11.620205314872006,1215,539,87,1841,9.278193692366282
240_mixed_updated_link_graph_5,Range_5-35,5,35,1.389041745380743,546.0864332865192,-85.99876477014469,11.45623455097302,1237,519,85,1841,9.143541757265726
240_mixed_updated_link_graph_4,Range_5-35,5,35,1.3846816731944205,546.0835297028284,-85.99787758303094,11.45106315219555,1245,512,84,1841,9.358313465118409
240_mixed_updated_link_graph_1,Range_5-35,5,35,1.382536909887988,546.0886076459851,-85.99819157366096,11.457698688064186,1235,521,85,1841,9.28338471253713
240_mixed_updated_link_graph_6,Range_5-35,5,35,1.3693301109215767,546.0842892603724,-85.99769147182194,11.43087159420992,1228,518,95,1841,9.197001059850058
240_mixed_updated_link_graph_3,Range_5-35,5,35,1.3434528031739321,546.0914584793134,-85.99787263942756,11.406753667788365,1246,521,74,1841,9.304720004399618
