name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_high_updated_link_graph_6,Range_65-95,65,95,172.2872166633606,2.3086782,497.04483,-83.4535,20.723866,1455,376,10,1841,100
240_high_updated_link_graph_8,Range_65-95,65,95,172.63920760154724,2.3017802,497.04565,-83.45347,20.711605,1455,378,8,1841,100
240_high_updated_link_graph_5,Range_65-95,65,95,174.9654848575592,2.300104,497.04446,-83.453285,20.723513,1456,370,15,1841,100
240_high_updated_link_graph_10,Range_65-95,65,95,173.38035702705383,2.298885,497.04742,-83.45332,20.711031,1462,371,8,1841,100
240_high_updated_link_graph_4,Range_65-95,65,95,174.04413723945618,2.2972372,497.04645,-83.45339,20.708136,1458,374,9,1841,100
240_high_updated_link_graph_9,Range_65-95,65,95,173.39154481887817,2.2906852,497.0464,-83.453316,20.707918,1463,367,11,1841,100
240_high_updated_link_graph_3,Range_65-95,65,95,170.81148028373718,2.28755,497.04666,-83.45328,20.710566,1461,366,14,1841,100
240_high_updated_link_graph_7,Range_65-95,65,95,169.69809460639954,2.2668705,497.0459,-83.453316,20.706942,1448,381,12,1841,100
240_high_updated_link_graph_1,Range_65-95,65,95,176.43398451805115,2.2615273,497.04626,-83.45325,20.711702,1451,379,11,1841,100
240_high_updated_link_graph_2,Range_65-95,65,95,176.55129671096802,2.250044,497.04874,-83.45334,20.705711,1456,374,11,1841,100
