name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_mixed_updated_link_graph_8,Range_65-95,65,95,176.2578408718109,2.3925304,497.0485,-83.4532,20.936287,1446,384,11,1841,100
240_mixed_updated_link_graph_9,Range_65-95,65,95,176.29484224319458,2.3809123,497.04813,-83.45345,20.962578,1438,392,11,1841,100
240_mixed_updated_link_graph_7,Range_65-95,65,95,175.38883590698242,2.3753839,497.0487,-83.453255,20.91864,1448,385,8,1841,100
240_mixed_updated_link_graph_2,Range_65-95,65,95,177.0080029964447,2.3658683,497.0489,-83.45322,20.879557,1446,384,11,1841,100
240_mixed_updated_link_graph_10,Range_65-95,65,95,175.55125975608826,2.3565152,497.04865,-83.45323,20.994669,1439,389,13,1841,100
240_mixed_updated_link_graph_5,Range_65-95,65,95,175.73702669143677,2.3533828,497.0513,-83.45323,20.860573,1447,383,11,1841,100
240_mixed_updated_link_graph_4,Range_65-95,65,95,175.3208327293396,2.3497095,497.04962,-83.45323,20.852327,1454,377,10,1841,100
240_mixed_updated_link_graph_1,Range_65-95,65,95,175.53187656402588,2.347562,497.05112,-83.45325,20.862906,1454,380,7,1841,100
240_mixed_updated_link_graph_6,Range_65-95,65,95,175.52290797233582,2.333567,497.0495,-83.45326,20.851768,1447,384,10,1841,100
240_mixed_updated_link_graph_3,Range_65-95,65,95,174.52769231796265,2.308248,497.05203,-83.45333,20.830082,1447,381,13,1841,100
