name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_random_updated_link_graph_6,Range_65-95,65,95,174.9168517589569,2.2600486,497.96655,-83.45238,20.918303,1460,364,17,1841,100
240_random_updated_link_graph_4,Range_65-95,65,95,171.43654322624207,2.2207224,516.6786,-83.45214,21.058327,1460,369,12,1841,100
240_random_updated_link_graph_1,Range_65-95,65,95,178.18486309051514,2.2165093,498.0807,-83.45162,21.049603,1457,373,11,1841,100
240_random_updated_link_graph_8,Range_65-95,65,95,176.576101064682,2.2117054,497.96475,-83.4522,20.873926,1477,350,14,1841,100
240_random_updated_link_graph_2,Range_65-95,65,95,176.05902123451233,2.2000725,498.02634,-83.45225,20.860151,1468,362,11,1841,100
240_random_updated_link_graph_3,Range_65-95,65,95,174.33463096618652,2.1992252,498.077,-83.45248,20.958551,1458,368,15,1841,100
240_random_updated_link_graph_10,Range_65-95,65,95,174.91782116889954,2.1984391,516.1022,-83.45167,20.96276,1449,374,18,1841,100
240_random_updated_link_graph_9,Range_65-95,65,95,177.76054549217224,2.173059,497.97534,-83.45246,20.828165,1464,363,14,1841,100
240_random_updated_link_graph_7,Range_65-95,65,95,175.3468301296234,2.153261,497.97562,-83.45238,20.893345,1450,376,15,1841,100
240_random_updated_link_graph_5,Range_65-95,65,95,174.66557502746582,2.1042452,506.7306,-83.45217,20.880499,1446,381,14,1841,100
