strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,avg_pages_up,avg_pages_down,avg_pages_neutral,efficiency,files_analyzed
High Candidates,Range_5-35,5,35,1000,1.532041491,750.464,492.16,598.376,0.076602075,10
Low Candidates,Range_5-35,5,35,1000,1.548508636,737.234,527.64,576.126,0.077425432,10
Mixed Candidates,Range_5-35,5,35,1000,1.592026568,696.522,576.089,568.389,0.079601328,10
Random Candidates,Range_5-35,5,35,1000,1.435658578,1038.994,319.091,482.915,0.071782929,10
Folder Candidates,Range_5-35,5,35,1000,1.516910702,1166.098,334.088,340.814,0.075845535,10
High Candidates,Range_35-65,35,65,1000,2.136562192,814.664,563.387,462.949,0.042731244,10
Low Candidates,Range_35-65,35,65,1000,2.154020563,808.773,586.36,445.867,0.043080411,10
Mixed Candidates,Range_35-65,35,65,1000,2.197998243,781.873,618.591,440.536,0.043959965,10
Random Candidates,Range_35-65,35,65,1000,2.042585181,1020.596,430.814,389.59,0.040851704,10
Folder Candidates,Range_35-65,35,65,1000,2.121037209,1123.515,419.868,297.617,0.042420744,10
High Candidates,Range_65-95,65,95,1000,2.642395948,820.762,654.379,365.859,0.033029949,10
Low Candidates,Range_65-95,65,95,1000,2.660670974,819.897,666.579,354.524,0.033258387,10
Mixed Candidates,Range_65-95,65,95,1000,2.705299233,798.372,692.185,350.443,0.03381624,10
Random Candidates,Range_65-95,65,95,1000,2.551295533,967.205,545.31,328.485,0.031891194,10
Folder Candidates,Range_65-95,65,95,1000,2.63375015,1076.578,504.48,259.942,0.032921877,10
